Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
SI072_135m_contig	k147_82421_1	NirK	17	166	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales	4.127130139783777	29	9.1e-24	1.0	0.7215	0.5764,0.145,0.0
SI072_135m_contig	k147_377073_1	NirK	1	133	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05	4.615969985458781	301	1.2e-19	1.0	0.3837	0.0943,0.2895,0.0
SI072_135m_contig	k147_374521_1	NirK	1	179	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp001437625	5.371423151624312	661	2.3e-26	0.5538456763	0.0845	0.0583,0.0262,0.0
SI072_135m_contig	k147_233703_1	NirK	1	177	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp001437625	9.266081947119407	661	1.4e-26	0.2385053373	0.0882	0.0605,0.0276,0.0
SI072_135m_contig	k147_388741_5	NirK	2	154	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	2.034245908059703	503	1e-27	0.8502551667	0.1327	0.0273,0.1054,0.0
SI072_135m_contig	k147_73545_1	NirK	1	139	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB; s__LS-NOB sp018673915	0.5974306546362389	887	1.9e-34	0.8137384029	0.0002	0.0001,0.0001,0.0
SI072_135m_contig	k147_85280_2	NirK	1	106	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__UBA868; g__UBA868; s__UBA868 sp018672825	0.4775467187936764	787	2.8e-19	1.0	0.1158	0.0001,0.1158,0.0
SI072_135m_contig	k147_75310_1	NirK	9	116	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methyloprofundus; s__Methyloprofundus sp012960135	0.6136171994662848	595	7.2e-25	0.9633941098	0.0002	0.0001,0.0001,0.0
SI072_135m_contig	k147_737_2	NirK	1	70	r__Root	0.33895045303851923	307	0.00023	0.9524415846	2.2411	0.4576,1.7836,0.0
SI072_135m_contig	k147_6428_2	NirK	1	129	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__Nitromaritima	1.6323485965130238	896	1.3e-32	0.7702785647	0.3158	0.0758,0.24,0.0
SI072_135m_contig	k147_383882_1	NirK	2	80	r__Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA1151; f__UBA1328; g__UBA1328; s__UBA1328 sp018673955	0.25950894060761626	976	2.5e-12	1.0	0.0002	0.0001,0.0001,0.0
SI072_135m_contig	k147_363875_1	NirK	2	195	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopelagicus	0.45627945601339126	521	2.9e-42	1.0	0.188	0.0826,0.1054,0.0
SI072_135m_contig	k147_221790_1	NirK	1	156	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae	8.50074782700108	1004	5.5e-37	1.0	0.4144	0.0349,0.2584,0.1212
SI072_135m_contig	k147_304277_2	NirK	1	131	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudooceanicola	0.3169574847115924	1052	1.1e-25	0.9298875743	0.3075	0.0423,0.2652,0.0
SI072_135m_contig	k147_96632_2	NirK	12	134	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__MPNO01; f__MPNO01	0.2434625455593841	379	7.2e-42	1.0	0.3223	0.2169,0.1054,0.0
SI072_135m_contig	k147_286478_1	NirK	1	171	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA6615; f__UBA6615; g__UBA8079; s__UBA8079 sp018667335	0.502974721979674	479	1.3e-37	1.0	0.074	0.0001,0.074,0.0
SI072_135m_contig	k147_45981_1	NirK	1	128	r__Root; d__Bacteria	0.4334654832127217	301	2.1e-16	1.0	1.5956	0.5495,1.0461,0.0
