Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
SI072_120m_contig_classified	k147_63726_1_1	NirK	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__MPNO01; f__MPNO01	0.0	594	9.5e-42	1.0	0.0425	0.0424,0.0001,0.0
SI072_120m_contig_classified	k147_119903_1_1	NirK	1	220	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Spongiibacteraceae	0.0	279	9.8e-55	1.0	0.5304	0.0911,0.4392,0.0
SI072_120m_contig_classified	k147_401365_1_1	NirK	1	186	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	0.0	1002	3.4e-49	1.0	0.1795	0.1414,0.038,0.0
SI072_120m_contig_classified	k147_328385_1_1	NirK	1	246	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-2731375; f__GCA-2731375; g__GCA-2731375; s__GCA-2731375 sp018701215	0.0	257	1.5e-65	1.0	0.0002	0.0001,0.0001,0.0
SI072_120m_contig_classified	k147_318514_1_1	NirK	1	170	r__Root	0.0	222	1.8e-35	1.0	2.0496	1.1171,0.9325,0.0
SI072_120m_contig_classified	k147_23372_1_1	NirK	2	193	r__Root	0.0	301	2.3e-22	1.0	1.8096	0.3493,1.4603,0.0
SI072_120m_contig_classified	k147_492009_1_1	NirK	6	302	r__Root	0.0	29	3.5e-34	1.0	1.7801	0.8528,0.9272,0.0
SI072_120m_contig_classified	k147_413959_1_1	NirK	1	205	r__Root	0.0	235	1e-30	1.0	1.7604	0.1557,0.5927,1.012
SI072_120m_contig_classified	k147_496000_1_1	NirK	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium; s__Rhizobium acidisoli	0.0	132	1.2e-55	0.7208782298	0.1156	0.0001,0.1156,0.0
SI072_120m_contig_classified	k147_277119_1_1	NirK	30	433	r__Root	0.0	29	9.4e-50	1.0	1.7986	1.0873,0.7113,0.0
SI072_120m_contig_classified	k147_546265_1_1	NirK	1	221	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0.0	286	8.5e-28	0.3774715899	0.8816	0.4802,0.4014,0.0
SI072_120m_contig_classified	k147_577689_2_1	NirK	1	252	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	34.6724342414527	411	9.4e-35	1.0	0.16	0.0226,0.1374,0.0
